Designator,Manufacturer Part number, Quantity
"C1,C2,C3,C4,C5,C6,C8,C9,C11,C12,C13,C14,C15,C16,C17,C18,C53,C54,C55,C56,C57,C60,C63,C65,C67,C68,C71,C72,C81","GRM033C71C104KE14D",29
"CARTRIDGE","5650118-1",1
"LD_0P1,LD_1P,LD_2P,LD_3P,LD_4P","SML-D12D1WT86",5
"LVL_AHI,LVL_ALO,LVL_D","SN74LVC8T245PWR",3
"R2,R3,R4,R5,R10,R13,R19,R21,R22,R25,R26,R61,R62,R63,R64,R65","ERJ-1GNJ103C",16
"R27,R98,R101,R104,R107","RMCF0402FT59R0",5
"SLOT0,SLOT1,SLOT2,SLOT3,SLOT4","10018783-10201TLF",5
"U$3","1888019-4",1
"U$4,U$5,U$6,U$8,U$9,U$14,U$15,U$16,U$17","74LVCH1T45GS,132",9
"X1,X2","M55-7008042R",2
